title,director,year,genre,country
['Американский оборотень в Лондоне'],['Джон Лэндис'],['1981'],['комедийный фильм ужасов'],"['США', 'Великобритания']"
['Американский ниндзя 4: Разрушение'],['Седрик Сандстром'],['1991'],['боевик'],"['\xa0', 'США']"
['Американский ниндзя 3: Кровавая охота'],['Седрик Сандстром'],['1989'],['боевик'],['США']
['Американский жиголо'],['Пол Шредер'],['1980'],['мелодрама'],['США']
['Американский дьявол'],['Эш Эвилдсен'],['2017'],['триллер'],['США']
['Американский друг'],['Вим Вендерс'],['1977'],['драма'],"['ФРГ', ' — ', 'Франция']"
['Американский дедушка'],['Иван Щёголев'],['1993'],['Комедия'],['Россия']
['Американский киборг: Стальной воин'],['Боаз Дэвидсон'],['1993'],"['боевик', 'постапокалиптика']",['США']
['Американский неудачник'],"['Эндрю Эрвин', 'Джон Эрвин']",['2021'],"['биографический', 'спорт']",['США']
['Американский ниндзя 2: Столкновение'],['Сэм Фёрстенберг'],['1985'],['боевик'],['США']
['Американский ниндзя'],['Сэм Фёрстенберг'],['1985'],['боевик'],"['США', ' ', 'Филиппины']"
['Американские молнии'],['Джон Бэдэм'],['1985'],"['спортивный', ' ', 'драматический фильм']",['США']
['Американские горки (фильм)'],['Джеб Стюарт'],['1997'],"['криминальная драма', ', ', 'триллер', ', ', 'боевик']",['США']
['Американские граффити'],['Джордж Лукас'],"['1973', 'Между']","['комедийная драма', 'история взросления']",['США']
['Американский грайндхаус'],['Элайджа Дреннер'],['2010'],['документальный'],['США']
['Американские животные'],['Барт Лэйтон'],['2018'],"['криминальная ', 'драма']","['Великобритания', 'США']"
['Американский боевой корабль'],['Тандер Левин'],"['5 июля', '2012', '2012']","['мокбастер', 'научно-фантастический фильм', 'боевик', 'вторжение пришельцев', 'фильм-триллер', 'военный фильм']","['\xa0', 'США']"
['Американские детки'],['Джош Столберг'],['2005'],"['Комедия', '  ', 'Драма']",['США']
